index;age;gender;country;diploma;job;years_writting_code;most_recommended_langage;plateform_used_for_datascience;tpu_used;years_of_use_of_ml;company_size;how_many_ppl_work_on_ml;do_your_company_use_ml;salary;money_spent_in_ml;bigdata_product_used;bi_tool_used;tool_you_use_to_analyse_data
5109;40-44;Man;Portugal;Master’s degree;Data Analyst;20+ years;Python;A personal computer or laptop;Never;1-2 years;250-999 employees;10-14;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;$0 ($USD);;;Local development environments (RStudio, JupyterLab, etc.)
5110;40-44;Man;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;5-10 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;$10,000-$99,999;Google Cloud BigQuery ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5111;22-24;Woman;India;Master’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;250-999 employees;20+;We are exploring ML methods (and may one day put a model into production);10,000-14,999;$100-$999;;;Advanced statistical software (SPSS, SAS, etc.)
5112;25-29;Man;Spain;Master’s degree;Machine Learning Engineer;10-20 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;$0 ($USD);;;
5113;25-29;Man;Turkey;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;2-3 years;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);5,000-7,499;$1-$99;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
5114;25-29;Man;India;Doctoral degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$1-$99;;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5115;35-39;Woman;United Kingdom of Great Britain and Northern Ireland;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;4-5 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;$100-$999;MySQL ;;Local development environments (RStudio, JupyterLab, etc.)
5116;18-21;Woman;India;Bachelor’s degree;Data Analyst;5-10 years;Python;A personal computer or laptop;Once;1-2 years;1000-9,999 employees;5-9;We use ML methods for generating insights (but do not put working models into production);1,000-1,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5117;40-44;Man;United States of America;Master’s degree;Data Analyst;20+ years;Python;A personal computer or laptop;2-5 times;10-20 years;10,000 or more employees;20+;I do not know;150,000-199,999;$100,000 or more ($USD);Oracle Database ;;Local development environments (RStudio, JupyterLab, etc.)
5118;35-39;Woman;Russia;Doctoral degree;Data Scientist;3-5 years;Python;A personal computer or laptop;Once;2-3 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);1,000-1,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5119;30-34;Woman;Sweden;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;2-5 times;4-5 years;10,000 or more employees;1-2;We are exploring ML methods (and may one day put a model into production);80,000-89,999;$1000-$9,999;Microsoft Azure Data Lake Storage ;;Local development environments (RStudio, JupyterLab, etc.)
5120;55-59;Man;United States of America;Master’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;5-10 years;10,000 or more employees;15-19;We have well established ML methods (i.e., models in production for more than 2 years);250,000-299,999;$10,000-$99,999;;;Local development environments (RStudio, JupyterLab, etc.)
5121;22-24;Prefer to self-describe;Ukraine;Master’s degree;Data Analyst;< 1 years;C++;A personal computer or laptop;Never;Under 1 year;0-49 employees;3-4;We use ML methods for generating insights (but do not put working models into production);$0-999;$0 ($USD);;;
5122;40-44;Man;United States of America;Doctoral degree;Data Scientist;10-20 years;SQL;A personal computer or laptop;Never;20 or more years;250-999 employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);200,000-249,999;$1000-$9,999;;Google Data Studio;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5123;30-34;Man;India;Master’s degree;Data Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;5-10 years;0-49 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;$1000-$9,999;Amazon DynamoDB ;;Local development environments (RStudio, JupyterLab, etc.)
5124;30-34;Man;Italy;Doctoral degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;5-9;We are exploring ML methods (and may one day put a model into production);40,000-49,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
5125;40-44;Man;United States of America;Some college/university study without earning a bachelor’s degree;Machine Learning Engineer;10-20 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);300,000-500,000;$100,000 or more ($USD);SQLite ;;Local development environments (RStudio, JupyterLab, etc.)
5126;35-39;Man;Saudi Arabia;Professional degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;1-2;No (we do not use ML methods);5,000-7,499;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5127;50-54;Man;Turkey;Professional degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;4-5 years;50-249 employees;15-19;We recently started using ML methods (i.e., models in production for less than 2 years);7,500-9,999;$1000-$9,999;Microsoft SQL Server ;;Local development environments (RStudio, JupyterLab, etc.)
5128;18-21;Man;Germany;Bachelor’s degree;Data Scientist;1-2 years;C++;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;No (we do not use ML methods);2,000-2,999;$0 ($USD);;;Other
5129;30-34;Man;Other;Master’s degree;Data Scientist;5-10 years;Python;Other;Never;3-4 years;50-249 employees;3-4;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
5130;22-24;Woman;India;Bachelor’s degree;Machine Learning Engineer;5-10 years;Javascript;A personal computer or laptop;Never;;;;;;;;;
5131;18-21;Man;United States of America;Bachelor’s degree;Data Engineer;1-2 years;Python;;;;;;;;;;;
5132;25-29;Man;South Africa;Bachelor’s degree;Data Scientist;3-5 years;Python;A personal computer or laptop;2-5 times;4-5 years;0-49 employees;3-4;We have well established ML methods (i.e., models in production for more than 2 years);1,000-1,999;$1000-$9,999;Google Cloud SQL ;Microsoft Power BI;Local development environments (RStudio, JupyterLab, etc.)
5133;30-34;Man;Viet Nam;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;No (we do not use ML methods);$0-999;$0 ($USD);;;Advanced statistical software (SPSS, SAS, etc.)
5134;30-34;Man;United Kingdom of Great Britain and Northern Ireland;Bachelor’s degree;Data Analyst;< 1 years;Python;A personal computer or laptop;Never;I do not use machine learning methods;50-249 employees;1-2;No (we do not use ML methods);30,000-39,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5135;35-39;Woman;United States of America;Doctoral degree;Data Scientist;5-10 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;3-4 years;10,000 or more employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$10,000-$99,999;Amazon Athena ;;Local development environments (RStudio, JupyterLab, etc.)
5136;30-34;Woman;Poland;Bachelor’s degree;Data Scientist;5-10 years;Python;A personal computer or laptop;Never;1-2 years;50-249 employees;3-4;We are exploring ML methods (and may one day put a model into production);;;;;
5137;25-29;Man;Argentina;Bachelor’s degree;Data Scientist;3-5 years;SQL;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;1-2 years;10,000 or more employees;10-14;We have well established ML methods (i.e., models in production for more than 2 years);7,500-9,999;$10,000-$99,999;;Google Data Studio;Local development environments (RStudio, JupyterLab, etc.)
5138;30-34;Man;Brazil;Professional degree;Data Scientist;10-20 years;R;A personal computer or laptop;Never;10-20 years;0-49 employees;1-2;We recently started using ML methods (i.e., models in production for less than 2 years);100,000-124,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5139;25-29;Man;China;Master’s degree;Data Scientist;3-5 years;R;A personal computer or laptop;Never;3-4 years;1000-9,999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);25,000-29,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
5140;50-54;Man;Canada;Master’s degree;Data Scientist;5-10 years;SQL;A personal computer or laptop;Never;1-2 years;1000-9,999 employees;20+;No (we do not use ML methods);80,000-89,999;$1000-$9,999;Microsoft SQL Server ;;Advanced statistical software (SPSS, SAS, etc.)
5141;25-29;Woman;India;Master’s degree;Data Analyst;5-10 years;R;A personal computer or laptop;Never;Under 1 year;1000-9,999 employees;20+;I do not know;$0-999;;;;
5142;22-24;Man;Malaysia;Master’s degree;Data Analyst;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;No (we do not use ML methods);$0-999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5143;25-29;Man;India;Bachelor’s degree;Data Analyst;I have never written code;;;;;250-999 employees;0;No (we do not use ML methods);10,000-14,999;$0 ($USD);;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5144;25-29;Man;India;Master’s degree;Data Scientist;< 1 years;Python;A personal computer or laptop;Never;Under 1 year;10,000 or more employees;10-14;We are exploring ML methods (and may one day put a model into production);4,000-4,999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
5145;30-34;Man;Germany;Master’s degree;Data Scientist;3-5 years;SQL;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We use ML methods for generating insights (but do not put working models into production);40,000-49,999;$1-$99;;Google Data Studio;Local development environments (RStudio, JupyterLab, etc.)
5146;22-24;Prefer to self-describe;Thailand;Master’s degree;Data Analyst;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Never;Under 1 year;0-49 employees;5-9;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;$10,000-$99,999;MySQL ;;Cloud-based data software & APIs (AWS, GCP, Azure, etc.)
5147;25-29;Man;Other;Bachelor’s degree;Data Analyst;3-5 years;Python;A personal computer or laptop;Once;I do not use machine learning methods;250-999 employees;3-4;No (we do not use ML methods);30,000-39,999;$0 ($USD);;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5148;25-29;Man;Italy;Master’s degree;Data Scientist;3-5 years;Python;A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc);Once;1-2 years;0-49 employees;0;We are exploring ML methods (and may one day put a model into production);$0-999;$1000-$9,999;;;Local development environments (RStudio, JupyterLab, etc.)
5149;25-29;Woman;United States of America;Bachelor’s degree;Data Engineer;5-10 years;Python;A personal computer or laptop;Never;3-4 years;250-999 employees;20+;We have well established ML methods (i.e., models in production for more than 2 years);80,000-89,999;$1-$99;;;Business intelligence software (Salesforce, Tableau, Spotfire, etc.)
5150;22-24;Man;Egypt;Bachelor’s degree;Machine Learning Engineer;3-5 years;Python;A deep learning workstation (NVIDIA GTX, LambdaLabs, etc);Never;1-2 years;50-249 employees;1-2;We are exploring ML methods (and may one day put a model into production);7,500-9,999;$100-$999;;;Local development environments (RStudio, JupyterLab, etc.)
5151;50-54;Man;United States of America;Bachelor’s degree;Data Scientist;1-2 years;SQL;A personal computer or laptop;Never;10-20 years;0-49 employees;1-2;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;$100,000 or more ($USD);PostgresSQL ;Tableau;Local development environments (RStudio, JupyterLab, etc.)
5152;18-21;Man;India;Bachelor’s degree;Data Scientist;1-2 years;Python;A personal computer or laptop;Never;Under 1 year;0-49 employees;0;I do not know;$0-999;$1-$99;MySQL ;;Basic statistical software (Microsoft Excel, Google Sheets, etc.)
5153;30-34;Woman;France;I prefer not to answer;Data Analyst;I have never written code;;;;;0-49 employees;0;I do not know;3,000-3,999;$1000-$9,999;;;
5154;60-69;Man;Japan;Bachelor’s degree;Machine Learning Engineer;1-2 years;Python;A personal computer or laptop;Never;1-2 years;0-49 employees;1-2;We are exploring ML methods (and may one day put a model into production);$0-999;$1-$99;;;Local development environments (RStudio, JupyterLab, etc.)
